,ts,button_status,LDRstatus,Duration
0,2021-11-13 00:21:17,,0.0,0 days 00:00:00.000000000
1,2021-11-13 00:21:27,1.0,,
2,2021-11-13 00:21:28,1.0,,
3,2021-11-13 00:21:28,1.0,,
4,2021-11-13 00:21:29,1.0,,
5,2021-11-13 00:21:30,1.0,,
6,2021-11-13 00:21:31,1.0,,
7,2021-11-13 00:21:31,1.0,,
8,2021-11-13 00:21:32,1.0,,
9,2021-11-13 00:30:26,,0.5,0 days 00:09:09.000000000
10,2021-11-13 00:30:30,1.0,,
11,2021-11-13 00:58:31,,0.0,0 days 00:00:00.000000000
12,2021-11-13 01:11:47,,0.5,0 days 00:13:16.000000000
13,2021-11-13 02:48:50,,0.0,0 days 00:00:00.000000000
14,2021-11-13 02:49:32,,0.5,0 days 00:00:42.000000000
15,2021-11-13 07:17:00,1.0,,
16,2021-11-13 07:17:05,,0.0,0 days 00:00:00.000000000
17,2021-11-13 07:19:47,,0.5,0 days 00:02:42.000000000
18,2021-11-13 07:56:40,,0.0,0 days 00:00:00.000000000
19,2021-11-13 08:03:26,,0.5,0 days 00:06:46.000000000
20,2021-11-13 08:11:54,1.0,,
21,2021-11-13 08:11:58,,0.0,0 days 00:00:00.000000000
22,2021-11-13 08:14:59,,0.5,0 days 00:03:01.000000000
23,2021-11-13 12:37:38,1.0,,
24,2021-11-13 12:37:40,,0.0,0 days 00:00:00.000000000
25,2021-11-13 12:39:12,,0.5,0 days 00:01:32.000000000
26,2021-11-13 12:40:00,,0.0,0 days 00:00:00.000000000
27,2021-11-13 12:41:49,,0.5,0 days 00:01:49.000000000
28,2021-11-13 13:11:10,,0.0,0 days 00:00:00.000000000
29,2021-11-13 13:17:40,,0.5,0 days 00:06:30.000000000
30,2021-11-13 15:15:33,,0.0,0 days 00:00:00.000000000
31,2021-11-13 15:31:33,,0.5,0 days 00:16:00.000000000
32,2021-11-13 19:28:22,,0.0,0 days 00:00:00.000000000
33,2021-11-13 19:29:33,,0.5,0 days 00:01:11.000000000
34,2021-11-13 22:51:00,1.0,,
35,2021-11-13 22:51:01,,0.0,0 days 00:00:00.000000000
36,2021-11-13 22:52:01,,0.5,0 days 00:01:00.000000000
37,2021-11-13 23:59:40,1.0,,
38,2021-11-13 23:59:44,,0.0,0 days 00:00:00.000000000
39,2021-11-14 00:04:13,,0.5,0 days 00:04:29.000000000
40,2021-11-14 08:51:10,1.0,,
41,2021-11-14 08:51:13,,0.0,0 days 00:00:00.000000000
42,2021-11-14 09:10:52,,0.5,0 days 00:19:39.000000000
43,2021-11-14 10:17:14,,0.0,0 days 00:00:00.000000000
44,2021-11-14 10:17:35,,0.5,0 days 00:00:21.000000000
45,2021-11-14 11:02:40,,0.0,0 days 00:00:00.000000000
46,2021-11-14 11:06:46,,0.5,0 days 00:04:06.000000000
47,2021-11-14 11:52:48,,0.0,0 days 00:00:00.000000000
48,2021-11-14 11:55:04,,0.5,0 days 00:02:16.000000000
49,2021-11-14 14:47:31,,0.0,0 days 00:00:00.000000000
50,2021-11-14 14:49:44,,0.5,0 days 00:02:13.000000000
51,2021-11-14 14:50:10,1.0,,
52,2021-11-14 14:50:12,,0.0,0 days 00:00:00.000000000
53,2021-11-14 14:51:38,,0.5,0 days 00:01:26.000000000
54,2021-11-14 14:54:26,,0.0,0 days 00:00:00.000000000
55,2021-11-14 14:55:57,,0.5,0 days 00:01:31.000000000
56,2021-11-14 15:37:49,,0.0,0 days 00:00:00.000000000
57,2021-11-14 15:39:38,,0.5,0 days 00:01:49.000000000
58,2021-11-14 15:39:39,,0.0,0 days 00:00:00.000000000
59,2021-11-14 15:51:41,,0.5,0 days 00:12:02.000000000
60,2021-11-14 17:49:52,,0.0,0 days 00:00:00.000000000
61,2021-11-14 17:51:01,,0.5,0 days 00:01:09.000000000
62,2021-11-14 19:07:24,1.0,,
63,2021-11-14 19:07:26,,0.0,0 days 00:00:00.000000000
64,2021-11-14 19:09:54,,0.5,0 days 00:02:28.000000000
65,2021-11-14 19:34:41,1.0,,
66,2021-11-14 19:34:45,,0.0,0 days 00:00:00.000000000
67,2021-11-14 19:40:28,,0.5,0 days 00:05:43.000000000
68,2021-11-14 20:08:36,,0.0,0 days 00:00:00.000000000
69,2021-11-14 20:09:40,,0.5,0 days 00:01:04.000000000
70,2021-11-14 22:45:44,,0.0,0 days 00:00:00.000000000
71,2021-11-14 22:57:51,,0.5,0 days 00:12:07.000000000
72,2021-11-14 23:01:52,,0.0,0 days 00:00:00.000000000
73,2021-11-14 23:04:05,,0.5,0 days 00:02:13.000000000
74,2021-11-15 00:37:25,,0.0,0 days 00:00:00.000000000
75,2021-11-15 00:39:11,,0.5,0 days 00:01:46.000000000
76,2021-11-15 07:18:10,,0.0,0 days 00:00:00.000000000
77,2021-11-15 07:22:08,,0.5,0 days 00:03:58.000000000
78,2021-11-15 08:51:15,,0.0,0 days 00:00:00.000000000
79,2021-11-15 08:51:35,1.0,,
80,2021-11-15 08:57:41,,0.5,0 days 00:06:26.000000000
81,2021-11-15 09:34:49,,0.0,0 days 00:00:00.000000000
82,2021-11-15 09:38:01,,0.5,0 days 00:03:12.000000000
83,2021-11-15 10:23:41,,0.0,0 days 00:00:00.000000000
84,2021-11-15 10:26:16,,0.5,0 days 00:02:35.000000000
85,2021-11-15 10:57:48,,0.0,0 days 00:00:00.000000000
86,2021-11-15 11:04:06,,0.5,0 days 00:06:18.000000000
87,2021-11-15 12:01:55,,0.0,0 days 00:00:00.000000000
88,2021-11-15 12:02:56,,0.5,0 days 00:01:01.000000000
89,2021-11-15 12:40:08,,0.0,0 days 00:00:00.000000000
90,2021-11-15 12:40:10,,0.5,0 days 00:00:02.000000000
91,2021-11-15 16:07:06,,0.0,0 days 00:00:00.000000000
92,2021-11-15 16:18:18,,0.5,0 days 00:11:12.000000000
93,2021-11-15 20:14:09,1.0,,
94,2021-11-15 20:14:13,,0.0,0 days 00:00:00.000000000
95,2021-11-15 20:15:20,,0.5,0 days 00:01:07.000000000
96,2021-11-15 23:18:57,1.0,,
97,2021-11-15 23:18:59,,0.0,0 days 00:00:00.000000000
98,2021-11-15 23:31:31,,0.5,0 days 00:12:32.000000000
99,2021-11-16 07:11:58,1.0,,
100,2021-11-16 07:12:01,,0.0,0 days 00:00:00.000000000
101,2021-11-16 07:13:55,,0.5,0 days 00:01:54.000000000
102,2021-11-16 07:55:29,,0.0,0 days 00:00:00.000000000
103,2021-11-16 08:02:42,,0.5,0 days 00:07:13.000000000
104,2021-11-16 08:09:08,,0.0,0 days 00:00:00.000000000
105,2021-11-16 08:16:32,,0.5,0 days 00:07:24.000000000
106,2021-11-16 10:31:58,1.0,,
107,2021-11-16 10:31:59,,0.0,0 days 00:00:00.000000000
108,2021-11-16 10:32:03,,0.5,0 days 00:00:04.000000000
109,2021-11-16 15:03:48,,0.0,0 days 00:00:00.000000000
110,2021-11-16 15:06:33,,0.5,0 days 00:02:45.000000000
111,2021-11-16 15:25:03,,0.0,0 days 00:00:00.000000000
112,2021-11-16 15:36:29,,0.5,0 days 00:11:26.000000000
113,2021-11-16 15:36:30,,0.0,0 days 00:00:00.000000000
114,2021-11-16 15:37:29,,0.5,0 days 00:00:59.000000000
115,2021-11-16 17:15:49,,0.0,0 days 00:00:00.000000000
116,2021-11-16 17:20:09,,0.5,0 days 00:04:20.000000000
117,2021-11-16 19:51:11,,0.0,0 days 00:00:00.000000000
118,2021-11-16 19:51:52,,0.5,0 days 00:00:41.000000000
119,2021-11-16 22:10:10,1.0,,
120,2021-11-16 22:10:13,,0.0,0 days 00:00:00.000000000
121,2021-11-16 22:35:18,,0.5,0 days 00:25:05.000000000
122,2021-11-16 22:35:19,,0.0,0 days 00:00:00.000000000
123,2021-11-16 22:35:23,,0.5,0 days 00:00:04.000000000
124,2021-11-16 22:57:49,1.0,,
125,2021-11-16 22:57:52,,0.0,0 days 00:00:00.000000000
126,2021-11-16 23:03:57,,0.5,0 days 00:06:05.000000000
127,2021-11-16 23:07:28,1.0,,
128,2021-11-16 23:07:31,,0.0,0 days 00:00:00.000000000
129,2021-11-16 23:10:43,,0.5,0 days 00:03:12.000000000
130,2021-11-17 07:16:05,,0.0,0 days 00:00:00.000000000
131,2021-11-17 07:18:24,,0.5,0 days 00:02:19.000000000
132,2021-11-17 08:45:33,1.0,,
133,2021-11-17 08:45:35,,0.0,0 days 00:00:00.000000000
134,2021-11-17 08:46:54,,0.5,0 days 00:01:19.000000000
135,2021-11-17 09:19:39,,0.0,0 days 00:00:00.000000000
136,2021-11-17 09:23:40,,0.5,0 days 00:04:01.000000000
137,2021-11-17 09:40:39,,0.0,0 days 00:00:00.000000000
138,2021-11-17 09:44:14,,0.5,0 days 00:03:35.000000000
139,2021-11-17 10:04:12,1.0,,
140,2021-11-17 10:04:14,,0.0,0 days 00:00:00.000000000
141,2021-11-17 10:05:19,,0.5,0 days 00:01:05.000000000
142,2021-11-17 15:45:09,,0.0,0 days 00:00:00.000000000
143,2021-11-17 16:10:00,,0.5,0 days 00:24:51.000000000
144,2021-11-17 20:39:51,,0.0,0 days 00:00:00.000000000
145,2021-11-17 20:46:16,,0.5,0 days 00:06:25.000000000
146,2021-11-17 23:00:25,,0.0,0 days 00:00:00.000000000
147,2021-11-17 23:10:12,,0.5,0 days 00:09:47.000000000
148,2021-11-18 00:43:56,1.0,,
149,2021-11-18 00:43:59,,0.0,0 days 00:00:00.000000000
150,2021-11-18 00:46:40,,0.5,0 days 00:02:41.000000000
151,2021-11-18 07:07:57,,0.0,0 days 00:00:00.000000000
152,2021-11-18 07:10:11,,0.5,0 days 00:02:14.000000000
153,2021-11-18 07:41:59,,0.0,0 days 00:00:00.000000000
154,2021-11-18 07:50:31,,0.5,0 days 00:08:32.000000000
155,2021-11-18 07:53:26,,0.0,0 days 00:00:00.000000000
156,2021-11-18 07:55:59,,0.5,0 days 00:02:33.000000000
157,2021-11-18 15:32:17,,0.0,0 days 00:00:00.000000000
158,2021-11-18 15:45:44,,0.5,0 days 00:13:27.000000000
159,2021-11-18 22:09:28,,0.0,0 days 00:00:00.000000000
160,2021-11-18 22:11:44,,0.5,0 days 00:02:16.000000000
161,2021-11-18 23:20:53,,0.0,0 days 00:00:00.000000000
162,2021-11-18 23:33:05,,0.5,0 days 00:12:12.000000000
163,2021-11-18 23:38:24,,0.0,0 days 00:00:00.000000000
164,2021-11-18 23:40:40,1.0,,
165,2021-11-18 23:49:59,,0.5,0 days 00:11:35.000000000
166,2021-11-18 23:54:13,,0.0,0 days 00:00:00.000000000
167,2021-11-19 00:01:32,,0.5,0 days 00:07:19.000000000
168,2021-11-19 00:37:21,1.0,,
169,2021-11-19 00:37:23,,0.0,0 days 00:00:00.000000000
170,2021-11-19 00:37:50,,0.5,0 days 00:00:27.000000000
171,2021-11-19 07:11:48,,0.0,0 days 00:00:00.000000000
172,2021-11-19 07:35:09,,0.5,0 days 00:23:21.000000000
173,2021-11-19 07:45:56,,0.0,0 days 00:00:00.000000000
174,2021-11-19 07:51:35,,0.5,0 days 00:05:39.000000000
175,2021-11-19 07:54:16,,0.0,0 days 00:00:00.000000000
176,2021-11-19 08:00:26,,0.5,0 days 00:06:10.000000000
177,2021-11-19 08:07:56,,0.0,0 days 00:00:00.000000000
178,2021-11-19 08:09:11,,0.5,0 days 00:01:15.000000000
179,2021-11-19 08:26:32,,0.0,0 days 00:00:00.000000000
180,2021-11-19 08:33:38,,0.5,0 days 00:07:06.000000000
181,2021-11-19 08:33:40,1.0,,
182,2021-11-19 08:34:38,,0.0,0 days 00:00:00.000000000
183,2021-11-19 08:39:27,,0.5,0 days 00:04:49.000000000
184,2021-11-19 08:44:44,,0.0,0 days 00:00:00.000000000
185,2021-11-19 08:44:52,,0.5,0 days 00:00:08.000000000
186,2021-11-19 08:44:55,1.0,,
187,2021-11-19 15:41:41,,0.0,0 days 00:00:00.000000000
188,2021-11-19 15:56:11,,0.5,0 days 00:14:30.000000000
189,2021-11-20 10:27:39,1.0,,
190,2021-11-20 10:27:50,,0.0,0 days 00:00:00.000000000
191,2021-11-20 10:30:10,,0.5,0 days 00:02:20.000000000
192,2021-11-20 10:34:34,,0.0,0 days 00:00:00.000000000
193,2021-11-20 10:52:07,,0.5,0 days 00:17:33.000000000
194,2021-11-20 11:03:03,,0.0,0 days 00:00:00.000000000
195,2021-11-20 11:22:29,,0.5,0 days 00:19:26.000000000
196,2021-11-20 11:29:55,1.0,,
197,2021-11-20 11:29:57,,0.0,0 days 00:00:00.000000000
198,2021-11-20 11:30:21,,0.5,0 days 00:00:24.000000000
199,2021-11-20 12:08:42,,0.0,0 days 00:00:00.000000000
200,2021-11-20 12:13:18,,0.5,0 days 00:04:36.000000000
201,2021-11-20 12:14:05,1.0,,
202,2021-11-20 12:14:09,,0.0,0 days 00:00:00.000000000
203,2021-11-20 12:18:10,,0.5,0 days 00:04:01.000000000
204,2021-11-20 13:12:03,,0.0,0 days 00:00:00.000000000
205,2021-11-20 13:29:51,,0.5,0 days 00:17:48.000000000
206,2021-11-20 14:12:09,,0.0,0 days 00:00:00.000000000
207,2021-11-20 14:12:11,,0.5,0 days 00:00:02.000000000
208,2021-11-20 14:23:58,,0.0,0 days 00:00:00.000000000
209,2021-11-20 14:25:22,,0.5,0 days 00:01:24.000000000
210,2021-11-20 14:26:56,1.0,,
211,2021-11-20 14:26:57,,0.0,0 days 00:00:00.000000000
212,2021-11-20 14:28:11,,0.5,0 days 00:01:14.000000000
213,2021-11-20 14:31:16,,0.0,0 days 00:00:00.000000000
214,2021-11-20 14:32:56,,0.5,0 days 00:01:40.000000000
215,2021-11-20 16:02:20,,0.0,0 days 00:00:00.000000000
216,2021-11-20 16:06:40,,0.5,0 days 00:04:20.000000000
217,2021-11-20 17:53:39,,0.0,0 days 00:00:00.000000000
218,2021-11-20 17:59:13,,0.5,0 days 00:05:34.000000000
219,2021-11-20 19:33:19,1.0,0.0,0 days 00:00:00.000000000
220,2021-11-20 19:35:15,,0.5,0 days 00:01:56.000000000
221,2021-11-20 19:53:37,1.0,,
222,2021-11-20 19:53:39,,0.0,0 days 00:00:00.000000000
223,2021-11-20 19:59:01,,0.5,0 days 00:05:22.000000000
224,2021-11-20 21:13:45,1.0,,
225,2021-11-20 21:13:46,,0.0,0 days 00:00:00.000000000
226,2021-11-20 21:16:26,,0.5,0 days 00:02:40.000000000
227,2021-11-20 21:31:12,,0.0,0 days 00:00:00.000000000
228,2021-11-20 21:32:43,,0.5,0 days 00:01:31.000000000
229,2021-11-20 21:43:52,,0.0,0 days 00:00:00.000000000
230,2021-11-20 21:44:17,,0.5,0 days 00:00:25.000000000
231,2021-11-20 21:46:04,1.0,0.0,0 days 00:00:00.000000000
232,2021-11-20 21:46:58,,0.5,0 days 00:00:54.000000000
233,2021-11-21 09:18:07,,0.0,0 days 00:00:00.000000000
234,2021-11-21 09:23:56,,0.5,0 days 00:05:49.000000000
235,2021-11-21 09:27:16,,0.0,0 days 00:00:00.000000000
236,2021-11-21 09:44:49,,0.5,0 days 00:17:33.000000000
237,2021-11-21 10:52:38,,0.0,0 days 00:00:00.000000000
238,2021-11-21 10:59:58,,0.5,0 days 00:07:20.000000000
239,2021-11-21 11:14:39,,0.0,0 days 00:00:00.000000000
240,2021-11-21 11:17:38,,0.5,0 days 00:02:59.000000000
241,2021-11-21 11:22:51,,0.0,0 days 00:00:00.000000000
242,2021-11-21 11:23:07,,0.5,0 days 00:00:16.000000000
243,2021-11-21 13:23:16,,0.0,0 days 00:00:00.000000000
244,2021-11-21 13:24:03,,0.5,0 days 00:00:47.000000000
245,2021-11-21 13:24:05,,0.0,0 days 00:00:00.000000000
246,2021-11-21 13:24:06,,0.5,0 days 00:00:01.000000000
247,2021-11-21 13:24:07,,0.0,0 days 00:00:00.000000000
248,2021-11-21 13:24:13,,0.5,0 days 00:00:06.000000000
249,2021-11-21 13:24:20,,0.0,0 days 00:00:00.000000000
250,2021-11-21 13:24:21,,0.5,0 days 00:00:01.000000000
251,2021-11-21 13:24:25,,0.0,0 days 00:00:00.000000000
252,2021-11-21 13:24:28,,0.5,0 days 00:00:03.000000000
253,2021-11-21 13:24:30,,0.0,0 days 00:00:00.000000000
254,2021-11-21 13:24:31,,0.5,0 days 00:00:01.000000000
255,2021-11-21 13:24:39,,0.0,0 days 00:00:00.000000000
256,2021-11-21 13:28:17,,0.5,0 days 00:03:38.000000000
257,2021-11-21 13:28:18,,0.0,0 days 00:00:00.000000000
258,2021-11-21 13:29:25,,0.5,0 days 00:01:07.000000000
